Row No.,Survived,Age,Passenger,Sex,Siblings,Parents,Fair
1,Yes,29,First,Female,0,0,211.3375
2,No,2,First,Female,1,2,151.55
3,No,30,First,Male,1,2,151.55
4,No,25,First,Female,1,2,151.55
5,Yes,48,First,Male,0,0,26.55
6,Yes,63,First,Female,1,0,77.9583
7,No,39,First,Male,0,0,0
8,Yes,18,First,Female,1,0,227.525
9,Yes,26,First,Female,0,0,78.85
10,Yes,80,First,Male,0,0,30
11,No,29.88113451,First,Male,0,0,25.925
12,No,24,First,Male,0,1,247.5208
13,Yes,50,First,Female,0,1,247.5208
14,Yes,32,First,Female,0,0,76.2917
15,No,36,First,Male,0,0,75.2417
16,Yes,37,First,Male,1,1,52.5542
17,Yes,26,First,Male,0,0,30
18,Yes,42,First,Female,0,0,227.525
19,Yes,29,First,Female,0,0,221.7792
20,Yes,25,First,Male,1,0,91.0792
21,Yes,19,First,Female,1,0,91.0792
22,Yes,35,First,Female,0,0,135.6333
23,Yes,28,First,Male,0,0,26.55
24,No,45,First,Male,0,0,35.5
25,Yes,40,First,Male,0,0,31
26,Yes,30,First,Female,0,0,164.8667
27,Yes,58,First,Female,0,0,26.55
28,No,42,First,Male,0,0,26.55
29,Yes,22,First,Female,0,1,55
30,Yes,29.88113451,First,Male,0,0,26.55
31,No,41,First,Male,0,0,30.5
32,No,48,First,Male,0,0,50.4958
33,No,29.88113451,First,Male,0,0,39.6
34,Yes,59,First,Female,2,0,51.4792
35,Yes,60,First,Female,0,0,76.2917
36,No,29.88113451,First,Male,0,0,31
37,Yes,42,First,Male,0,0,26.2875
38,Yes,53,First,Female,0,0,27.4458
39,Yes,36,First,Male,0,1,512.3292
40,No,28,First,Male,0,0,47.1
41,No,17,First,Male,0,0,47.1
42,Yes,11,First,Male,1,2,120
43,Yes,36,First,Male,1,2,120
44,Yes,36,First,Female,1,2,120
45,No,49,First,Male,0,0,26
46,No,36,First,Male,1,0,78.85
47,Yes,76,First,Female,1,0,78.85
48,No,46,First,Male,1,0,61.175
49,Yes,47,First,Female,1,0,61.175
50,Yes,27,First,Male,1,0,53.1
51,Yes,36,First,Female,0,0,262.375
52,Yes,30,First,Female,0,0,86.5
53,Yes,29.88113451,First,Female,0,1,55
54,No,29.88113451,First,Male,0,0,0
55,No,27,First,Male,1,0,136.7792
56,Yes,26,First,Female,1,0,136.7792
57,Yes,22,First,Female,0,0,151.55
58,No,29.88113451,First,Male,0,0,52
59,Yes,39,First,Female,1,1,83.1583
60,No,37,First,Male,1,1,83.1583
61,Yes,64,First,Female,0,2,83.1583
62,Yes,55,First,Female,2,0,25.7
63,No,29.88113451,First,Male,0,0,26.55
64,No,70,First,Male,1,1,71
65,No,39,First,Male,1,0,71.2833
66,Yes,38,First,Female,1,0,71.2833
67,Yes,51,First,Male,0,0,26.55
68,Yes,33,First,Female,0,0,151.55
69,No,31,First,Male,1,0,52
70,Yes,27,First,Female,1,2,52
71,Yes,31,First,Male,1,0,57
72,Yes,17,First,Female,1,0,57
73,Yes,53,First,Male,1,1,81.8583
74,Yes,4,First,Male,0,2,81.8583
75,Yes,48,First,Female,1,0,106.425
76,Yes,48,First,Female,1,0,39.6
77,Yes,49,First,Male,1,0,56.9292
78,No,39,First,Male,0,0,29.7
79,Yes,23,First,Female,0,1,83.1583
80,Yes,54,First,Female,1,0,78.2667
81,No,36,First,Female,0,0,31.6792
82,No,29.88113451,First,Male,0,0,221.7792
83,Yes,29.88113451,First,Female,0,0,110.8833
84,Yes,36,First,Male,0,0,26.3875
85,Yes,24,First,Female,3,2,263
86,Yes,23,First,Female,3,2,263
87,No,19,First,Male,3,2,263
88,No,64,First,Male,1,4,263
89,Yes,60,First,Female,1,4,263
90,Yes,30,First,Female,0,0,56.9292
91,No,29.88113451,First,Male,0,0,26.55
92,Yes,50,First,Male,2,0,133.65
93,Yes,43,First,Male,1,0,27.7208
94,Yes,22,First,Female,0,2,49.5
95,Yes,60,First,Male,1,1,79.2
96,Yes,48,First,Female,1,1,79.2
